rider,stage,position,gap,stage_time
BENNETT Sam,21,1,0,10249
VIVIANI Elia,21,2,0,10249
DRUCKER Jempy,21,3,0,10249
PLANCKAERT Baptiste,21,4,0,10249
BELLETTI Manuel,21,5,0,10249
MODOLO Sacha,21,6,0,10249
VENTURINI Clément,21,7,0,10249
SIMION Paolo,21,8,0,10249
SABATINI Fabio,21,9,0,10249
POLANC Jan,21,10,0,10249
BATTAGLIN Enrico,21,11,0,10249
MORI Manuele,21,12,0,10249
HAIG Jack,21,13,0,10249
GIBBONS Ryan,21,14,0,10249
BEWLEY Sam,21,15,0,10249
DEBUSSCHERE Jens,21,16,0,10249
BOIVIN Guillaume,21,17,0,10249
MØRKØV Michael,21,18,0,10249
PFINGSTEN Christoph,21,19,0,10249
VISCONTI Giovanni,21,20,0,10249
BONIFAZIO Niccolò,21,21,0,10249
CAVAGNA Rémi,21,22,0,10249
POZZOVIVO Domenico,21,23,0,10249
VENTER Jaco,21,24,0,10249
VAN HOECKE Gijs,21,25,0,10249
ROELANDTS Jürgen,21,26,0,10249
MOHORIČ Matej,21,27,0,10249
SBARAGLI Kristian,21,28,0,10249
DENNIS Rohan,21,29,0,10249
VAN POPPEL Boy,21,30,0,10249
BERTAZZO Liam,21,31,0,10249
VAN ASBROECK Tom,21,32,0,10249
ARMÉE Sander,21,33,0,10249
ŠTYBAR Zdeněk,21,34,0,10249
ULISSI Diego,21,35,0,10249
GONÇALVES José,21,36,0,10249
CATTANEO Mattia,21,37,0,10249
MONTAGUTI Matteo,21,38,0,10249
JAUREGUI Quentin,21,39,0,10249
VILLELLA Davide,21,40,0,10249
BOARO Manuele,21,41,0,10249
BERHANE Natnael,21,42,0,10249
SÉNÉCHAL Florian,21,43,0,10249
SCHILLINGER Andreas,21,44,0,10249
FORMOLO Davide,21,45,0,10249
BENEDETTI Cesare,21,46,0,10249
GROßSCHARTNER Felix,21,47,0,10249
FRAPPORTI Marco,21,48,0,10249
MOSCA Jacopo,21,49,0,10249
LAENGEN Vegard Stake,21,50,0,10249
KONRAD Patrick,21,51,0,10249
PREIDLER Georg,21,52,0,10249
ROY Jérémy,21,53,0,10249
GENIEZ Alexandre,21,54,0,10249
HERMANS Ben,21,55,0,10249
FRANKINY Kilian,21,56,0,10249
FRISON Frederik,21,57,0,10249
HANSEN Adam,21,58,0,10249
BAK Lars Ytting,21,59,0,10249
VAN EMDEN Jos,21,60,0,10249
VAN POPPEL Danny,21,61,0,10249
MARTIN Tony,21,62,0,10249
MULLEN Ryan,21,63,0,10249
OOMEN Sam,21,64,0,10249
BROWN Nathan,21,65,0,10249
GAVAZZI Francesco,21,66,0,10249
BALLERINI Davide,21,67,0,10249
BOUWMAN Koen,21,68,0,10249
DENZ Nico,21,69,0,10249
KING Ben,21,70,0,10249
TURRIN Alex,21,71,0,10249
VENDRAME Andrea,21,72,0,10249
PLAZA Rubén,21,73,0,10249
VENTOSO Francisco José,21,74,0,10249
CAPECCHI Eros,21,75,0,10249
DEMPSTER Zak,21,76,0,10249
MARCATO Marco,21,77,0,10249
PEDERSEN Mads,21,78,0,10249
IRIZAR Markel,21,79,0,10249
COLEDAN Marco,21,80,0,10249
BARBIN Enrico,21,81,0,10249
KUZNETSOV Viacheslav,21,82,0,10249
JUUL-JENSEN Christopher,21,83,0,10249
SCHACHMANN Maximilian,21,84,0,10249
DE MARCHI Alessandro,21,85,0,10249
NOVAK Domen,21,86,0,10249
ZHUPA Eugert,21,87,0,10249
FONZI Giuseppe,21,88,0,10249
CONTI Valerio,21,89,0,10249
CICCONE Giulio,21,90,0,10249
ANDREETTA Simone,21,91,0,10249
MASNADA Fausto,21,92,0,10249
SAGIV Guy,21,93,0,10249
NEILANDS Krists,21,94,0,10249
ATAPUMA Darwin,21,95,0,10249
WÜRTZ SCHMIDT Mads,21,96,0,10249
DOWSETT Alex,21,97,0,10249
HAMILTON Chris,21,98,0,10249
DUMOULIN Tom,21,99,0,10249
HAGA Chad,21,100,0,10249
TEN DAM Laurens,21,101,0,10249
CURVERS Roy,21,102,0,10249
HOFSTEDE Lennard,21,103,0,10249
DIDIER Laurent,21,104,0,10249
EG Niklas,21,105,0,10249
BRAMBILLA Gianluca,21,106,0,10249
BETANCUR Carlos,21,107,0,10249
LAMMERTINK Maurits,21,108,0,10249
DUPONT Hubert,21,109,0,10249
NIBALI Antonio,21,110,0,10249
DE LA PARTE Víctor,21,111,0,10249
SEPÚLVEDA Eduardo,21,112,0,10249
FERNÁNDEZ Rubén,21,113,0,10249
PEDRERO Antonio,21,114,0,10249
PANTANO Jarlinson,21,115,0,10249
CARAPAZ Richard,21,116,0,10249
QUINTANA Dayer,21,117,0,10249
ZEITS Andrey,21,118,0,10249
SÁNCHEZ Luis León,21,119,0,10249
LUTSENKO Alexey,21,120,0,10249
BELKOV Maxim,21,121,0,10249
TORRES Rodolfo Andrés,21,122,0,10249
LÓPEZ Miguel Ángel,21,123,0,10249
JANSE VAN RENSBURG Jacques,21,124,0,10249
BILBAO Pello,21,125,0,10249
HIRT Jan,21,126,0,10249
BIDARD François,21,127,0,10249
MORABITO Steve,21,128,0,10249
ROUX Anthony,21,129,0,10249
KREUZIGER Roman,21,130,0,10249
REICHENBACH Sébastien,21,131,0,10249
YATES Simon,21,132,0,10249
NIEVE Mikel,21,133,0,10249
BENNETT George,21,134,0,10249
LINDEMAN Bert-Jan,21,135,0,10249
GESINK Robert,21,136,0,10249
TUFT Svein,21,137,0,10249
CARTHY Hugh,21,138,0,10249
WOODS Michael,21,139,0,10249
DOCKER Mitchell,21,140,0,10249
DOMBROWSKI Joe,21,141,0,10249
KNEES Christian,21,142,0,10249
DE LA CRUZ David,21,143,0,10249
PUCCIO Salvatore,21,144,0,10249
FROOME Chris,21,145,0,10249
POELS Wout,21,146,0,10249
ELISSONDE Kenny,21,147,0,10249
HENAO Sergio,21,148,0,10249
CHAVES Esteban,21,149,0,10249
NIEVE Mikel,20,1,0,20628
GESINK Robert,20,2,137,20765
GROßSCHARTNER Felix,20,3,162,20790
CICCONE Giulio,20,4,225,20853
BRAMBILLA Gianluca,20,5,323,20951
POELS Wout,20,6,363,20991
FROOME Chris,20,7,363,20991
FORMOLO Davide,20,8,363,20991
POZZOVIVO Domenico,20,9,363,20991
CARAPAZ Richard,20,10,363,20991
OOMEN Sam,20,11,363,20991
LÓPEZ Miguel Ángel,20,12,363,20991
DUMOULIN Tom,20,13,369,20997
BENNETT George,20,14,405,21033
KONRAD Patrick,20,15,405,21033
BILBAO Pello,20,16,405,21033
GENIEZ Alexandre,20,17,424,21052
BETANCUR Carlos,20,18,424,21052
DUPONT Hubert,20,19,534,21162
HENAO Sergio,20,20,582,21210
POLANC Jan,20,21,609,21237
WOODS Michael,20,22,609,21237
FRANKINY Kilian,20,23,653,21281
BOUWMAN Koen,20,24,714,21342
ARMÉE Sander,20,25,714,21342
MASNADA Fausto,20,26,716,21344
GONÇALVES José,20,27,736,21364
PLAZA Rubén,20,28,736,21364
DE LA PARTE Víctor,20,29,896,21524
CONTI Valerio,20,30,903,21531
MOHORIČ Matej,20,31,903,21531
CATTANEO Mattia,20,32,968,21596
BATTAGLIN Enrico,20,33,968,21596
BIDARD François,20,34,968,21596
SÁNCHEZ Luis León,20,35,968,21596
TEN DAM Laurens,20,36,1059,21687
VISCONTI Giovanni,20,37,1120,21748
LAMMERTINK Maurits,20,38,1298,21926
NEILANDS Krists,20,39,1378,22006
ELISSONDE Kenny,20,40,1444,22072
PUCCIO Salvatore,20,41,1497,22125
DE LA CRUZ David,20,42,1497,22125
FERNÁNDEZ Rubén,20,43,1497,22125
ULISSI Diego,20,44,1511,22139
MORI Manuele,20,45,1511,22139
TURRIN Alex,20,46,1511,22139
JUUL-JENSEN Christopher,20,47,1511,22139
NOVAK Domen,20,48,1544,22172
LUTSENKO Alexey,20,49,1575,22203
KNEES Christian,20,50,1635,22263
GAVAZZI Francesco,20,51,2099,22727
BALLERINI Davide,20,52,2099,22727
